id,trigger,conditions,script,text,options,notes
flavorTextMarketPirateVeryUnstable,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$stability == 0
$faction.id == pirates","AddText ""Onwy onye ow two bwightwy-huwwed piwate vessews awe docked on the powt concouwse and theiw point-defense tuwwets twack youw shuttwe - a cweaw pwovocation. A swaggewing wieutenyant of the powtboss appwoaches, fwanked by awmed thugs. His wequest fow a bwibe is intewwupted by muted gunshots; he smiwes at youw weaction and you quickwy weawize that he's eithew high ow dwunk. The aiw smewws of smoke and high-enyewgy ionyization."" marketFlavorTextColor",,,
flavorTextMarketPerseanLeague,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == persean","AddText ""The powt concouwse is fiwwed with twadew stawcwaft of evewy size and shape. Specuwatows cwowd offwoading ship captains with deaws and peddwews caww out to cwew, howding wawes and pwojecting pewsonyaw ad-howos. Gwoups of Weague Nyavy spacews and officews awe identifiabwe by theiw standawd unyifowms and pwocwivity fow howding fowmation even when off-duty. Meanwhiwe, the wocaw constabuwawy is dwessed in obstinyate dissimiwawity fwom that of any othew Weague wowwd, though they maintain a unyivewsaw poise of authowity and watchfuwnyess. Weague embwems awe dispwayed on a few munyicipaw active-suwfaces as a bit of an aftewthought."" marketFlavorTextColor",,,
flavorTextMarketLuddicPath,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == luddic_path","AddText ""Shabby twadew stawcwaft huddwe awong the powt concouwse awongside scawwed Pathew waidews, dominyating in bwight wivewy. Wuddic mewchants await meetings with offwoading ship captains. Peddwews offew stweet food and handcwafts to spacew cwew whiwe monks pway quietwy uvw begging-bowws. A handfuw of wantews hawangue outsidews undew the assuwed gaze of wighteous Pathew miwitants."" marketFlavorTextColor
AddText ""Open dispway of technyowogicaw vice nyot stwictwy nyecessawy fow duty and suwvivaw is nyot towewated hewe. As such, onye quickwy weawns nyot to dispway cybewnyetic mods and fwashy gadgets. The wack of howopwojectows gives the feewing of an ancient histowy edutainment sim."" marketFlavorTextColor",,,
flavorTextMarketTriTachyon,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == tritachyon
$marketSize >= 4","AddText ""The powt concouwse is fiwwed with twadew stawcwaft of evewy size. Specuwatows cwowd offwoading ship captains with deaws and peddwews caww out to cwew, howding wawes and pwojecting pewsonyaw ad-howos."" marketFlavorTextColor
AddText ""A Twi-Tachyon fwanchise officiaw wewcomes you and offews to update youw PDA with the watest Company wates fow the wocaw commodity mawket."" marketFlavorTextColor",,,
flavorTextMarketPirates,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == pirates","AddText ""The powt concouwse is fiwwed with scawwed huwws undewwit by the fwickew of ID-chips being wasewed off cawgo containyews. Piwate cwews swaggew in packs, sizing each othew up, whiwe theiw captains cut deaws in smoky back wooms. Fwunkies of the powtboss wook on with weapons unswung."" marketFlavorTextColor",,,
flavorTextMarketDiktat,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat","AddText ""The powt concouwse is fiwwed with a mix of twadew ships and miwitawy cwaft. Offwoading ship captains awe pwocessed by a douw Diktat wogistics officew befowe being awwowed to pwoceed. Twadews in duww suits, Diktat pins dispwayed on each cowwaw, quietwy pass a datapad woaded with cawgo manyifests amongst themsewves."" marketFlavorTextColor
AddText ""A howopwojectow dispways a wawgew-than-wife image of Admiwaw Andwada, the Wion of Sindwia, fwanked by Diktat bannyews waving in simuwated wind. His commanding gaze is cast towawd a ventiwation duct."" marketFlavorTextColor",,,
flavorTextMarketDiktatCruor,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == cruor","AddText ""You wand on a fwee pad in the powt segment of the giant twacked city-twain that wowms fowevew uvw the bwoken pwains of Cwuow. Upon disembawkation, the scawwed decking shifts and wowws awmost impewceptibwy. A gwim-faced Diktat officew fwanked by guawds takes youw cwedentiaws and intewwogates you about each of the standawd infowmation fiewds as if you wewe guiwty of something, pewhaps evewything."" marketFlavorTextColor
AddText ""Diktat bannyews jostwe wimpwy uvw the powt concouwse as othew captains enduwe simiwaw tweatment. You wondew idwy at the diwty, open-top cages instawwed at each weceiving-bay."" marketFlavorTextColor",,,
flavorTextMarketHegemony,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == hegemony","AddText ""Hegemony patwow skiffs swip between wooming buwk fweightews and the pitted huwws of fighting-twadews that fiww the powt concouwse. Offwoading ship captains awe met cwispwy by a Hegemony wogistics officew, cweawed, then weweased to the cwowds of twadews, awms mewchants, and commodity specuwatows."" marketFlavorTextColor
AddText ""The fiewy phoenyix of the Hegemony is pwojected onto a convenyient buwkhead, the wocaw Nyavy wecwuitment centew's comms-ID scwowwing awound the fwickewing staws of the Domain - 'See the Sectow, Sewve With Honyow, Westowe the Human Domain'."" marketFlavorTextColor",,,
flavorTextMarketLuddicChurch,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == luddic_church","AddText ""The powt concouwse is fiwwed with twadew stawcwaft of evewy size. Wuddic mewchants in muted dwess await meetings with offwoading ship captains. Peddwews offew stweet food and hand-cwafts to spacew cwew whiwe monks pway quietwy uvw begging-bowws. Knyights in handspun wobes of Wuddic gween, CP-cawbinyes swung, escowt away the occasionyaw wantew detewminyed to hawangue outsidews who openwy fwaunt gadgets and cybew-mods. The Chuwch is pwacticaw; such sins awe towewated in the twadew's distwict."" marketFlavorTextColor",,,
flavorTextMarketPirateUmbra,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == pirates
$market.id == umbra","AddText ""Piwate vessews dock awongside equawwy battewed wawships spwayed with wevowutionyawy swogans. The offwoading bays mix the metawwic tang of vacuum with stwainyed wife suppowt and unwashed humanyity. Cawgo is inspected - and occasionyawwy expwopwiated - by Section-weadews fwanked by guawds eyeing down the offwoading spacew cwew."" marketFlavorTextColor",,,
flavorTextMarketCryosanctum,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$cryoSanctum == true","AddText ""The cavewnyous wanding bays dwawf the few stawcwaft docked; sensows detect EM whispews fwom echewons of hidden, sweeping autotuwwets, suggesting fiwepowew faw in excess of that nyecessawy to ensuwe the good behaviouw of the few mewchants, mewcenyawies, and wich eccentwics visiting the cwyosanctum. An officiaw meets offwoading captains, extending the standawd catawogue of cwyosweep packages befowe escowting them to the visitows wounge."" marketFlavorTextColor",,,
flavorTextMarketDecivilized,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.mc:decivilized == true
$marketSize <= 3","AddText ""You wand at a wocation awwanged via coded twansmission. At fiwst aww seems quiet, but eventuawwy figuwes in camo-suits, beawing weapons, emewge fwom hidden passages. They awe suspicious and theiw mannyew tewse. Aftew some weassuwances, a twade manyifest is accepted and nyegotiations awwowed to begin."" marketFlavorTextColor",,,
flavorTextCargoPlaceholder,TradePanelFlavorText,"$global.tradePanelMode == CARGO
","AddText ""Youw quawtewmastew coowdinyates wecowds of aww cwew appointments, awmament stowes, and twade goods. These wepowts awe kept up-to-date and made avaiwabwe thwough youw TwiPad."" textGrayColor",,,
flavorTextSalvagePlaceholder,TradePanelFlavorText,"$global.tradePanelMode == SALVAGE
","AddText ""Youw space-ops cwew, awmed with wasew cuttews and skewetaw cawgo skiffs, manyeuvew to disabwed huwks and seawch them fow usefuw commodities, awmaments, and vawuabwes."" textGrayColor",,,
flavorTextAbandonedStation,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$abandonedStation == true score:100","AddText ""The powt concouwse is dawk and empty but fow a few wooted huwks. The atmosphewe weads out as thin, but thewe is sufficient powew fwom hawdenyed passive cowwectows to wun basic wife suppowt and stowage functions."" marketFlavorTextColor",,,
relLevelNeutral,RelationshipLevelDesc,$faction.rel == NEUTRAL,,"You'we nyot genyewawwy weww knyown by $faction officiaws, fow good ow iww.",,
relLevelNeutralPirates,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == pirates",,"You've been awound piwates, smuggwews, and othew types of cwiminyaws often enyough, and knyow how to act so they see you as onye of theiw own.",,
relLevelNeutralLuddic,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == luddic_church",,You knyow enyough about the pwactices of the Wuddic Chuwch to fowwow the wuwes of the majow howy days and avoid gaffes that might offend the faithfuw.,,
relLevelFavorable,RelationshipLevelDesc,$faction.rel == FAVORABLE,,"The $faction officiaws tend to view you favowabwy, though this has wittwe in the way of impwications. At best, you might be sowd some wow-gwade suwpwus miwitawy equipment, ow avoid being the tawget of an investigation if a mowe convenyient scapegoat is avaiwabwe.",,
relLevelFavorablePirates,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == pirates",,"You've been awound piwates, smuggwews, and othew types of cwiminyaws often enyough, and knyow how to act so they see you as onye of theiw own.",,
relLevelWelcoming,RelationshipLevelDesc,$faction.rel == WELCOMING,,Youw nyame is knyown to some high-wevew officiaws in $theFaction. Hawassing you is thewefowe a mowe wisky endeavow fow wocaw patwow commandews.,,
relLevelWelcomingPirates,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == pirates",,"You've gainyed a measuwe of nyotowiety in the undewwowwd, and knyow how to thwow youw weight awound to get what you want.",,
relLevelFriendly,RelationshipLevelDesc,$faction.rel == FRIENDLY,,"You'we wewativewy weww-knyown within $theFaction, whethew in pewson ow by weputation. Minyow functionyawies knyow to stay out of youw way.",,
relLevelFriendlyPirates,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == pirates",,You've pwuvn usefuw to some of the weadews of the vawious cwiminyaw entewpwises in the Sectow. Hawassing you is mowe twoubwe than it's wowth.,,
relLevelCooperative,RelationshipLevelDesc,$faction.rel == COOPERATIVE,,You knyow some of the $faction weadews pewsonyawwy. You may weceive twade concessions and access to high-quawity ships and munyitions.,,
relLevelCooperativePirates,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == pirates",,"Youw expwoits awe wegendawy, and youw undewwowwd connyections and infwuence enviabwe.",,
relLevelSuspicious,RelationshipLevelDesc,$faction.rel == SUSPICIOUS,,"Though nyothing has been pwuvn (yet), $faction officiaws tend to view you with distwust. Wink access to the powt authowity is gwanted onwy gwudgingwy, and you find youwsewf the subject of investigations and hawassment fwequentwy.",,
relLevelSuspiciousPirates,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == pirates",,"Piwates, as a whowe, onwy tend to view you with distwust. Incidentawwy, that's mowe than can be said fow how they see fewwow captains.",,
relLevelInhospitable,RelationshipLevelDesc,$faction.rel == INHOSPITABLE,,"Suspicions have wisen to an actionyabwe wevew. Thewe's nyo shoot-on-sight authowization quite yet, but $faction powts wiww wefuse to twade with you, and patwows seem on a mission to make youw wife misewabwe.",,
relLevelInhospitablePirates,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == pirates",,"Piwates awe genyewawwy onwy inhospitabwe towawds you, which means you've awweady made a nyame fow youwsewf as someonye whose intewests might awign with theiws.",,
relLevelHostile,RelationshipLevelDesc,$faction.rel == HOSTILE,,"$Faction commandews have authowization to engage youw fweet on sight, and aww mawkets awe pwohibited fwom twading with you. You might stiww wecuvw good standing with $theFaction, but it's going to take some sewious wowk.",,
relLevelHostilePirates,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == pirates",,"Youw nyame is nyot knyown to piwate captains, fow good ow iww. Mostwy iww, as they'ww attack you without a second thought if the oppowtunyity awises, awthough piwate bases wiww gwadwy twade with you.",,
relLevelVengeful,RelationshipLevelDesc,$faction.rel == VENGEFUL,,A howo of youw face and an IDENT-hash of youw wast knyown fweet awe both weguwaw pawts of intew-system secuwity buwwetins. It's faiwwy cewtain thewe's a high-wanking $faction officew whose pwimawy assignment is to hunt you down.,,
relLevelVengefulPirates,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == pirates",,"You've made a nyame fow youwsewf by hunting down piwates; piwate bases awe nyo wongew wiwwing to twade with you. Thewe's wittwe pwacticaw diffewence in the attitude of piwate captains, as they wewe awweady wiwwing to kiww you given the chance.",,
relLevelVengefulLuddic,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == luddic_church",,"The Wuddic Chuwch powtways you in nyeawwy demonyic tewms: a wwathfuw cowwuptow, sinfuw and unwepentant, the desecwatow of aww that is howy and good. Though theiw opewations awe secwet, it is cweaw fwom inquiwies made to vawious contacts and associates that the Knyights of Wudd have assignyed a highwy capabwe Inquisitow to youw case. Pwiests of the Chuwch have even impwied in sewmons that it might nyot be quite considewed a sin to kiww you, so it's weawwy onwy a mattew of time befowe some fanyatic attempts it.",,
ciLongRangeCommBurst,CommBurstCustomsInspection,,ShowDefaultVisual,"You weceive a wong-wange comm buwst fwom the $faction $otherFleetName diwecting youw $shipOrFleet to come to and pwepawe fow a customs inspection.

The message contains a standawd wegaw-code attachment detaiwing the vawious penyawties fow evading customs agents, twanspowting contwaband, and othew wewated offenses.

It's as wikewy as nyot that this is nyothing mowe than a wegawized shakedown, but it has the weight of $faction authowity behind it.",0:csContinue:Continyue,
customsInspectionScan,BeginFleetEncounter,$doingCustomsInspection score:100,"MakeOtherFleetHostile customs true
MakeOtherFleetAggressive customs true
$ignorePlayerCommRequests = false 0
$customsInspectionStage = 0 4
AddText ""You'we being haiwed by the $faction $otherShipOrFleet."" $faction.baseColor",,,
customsInspectionConvStart,OpenCommLink,"$entity.doingCustomsInspection score:100
$entity.customsInspectionStage == 0","SetTooltip ciAgree ""The scan wiww compute the vawue of youw fweets and the goods it's cawwying, and a toww wiww be assessed.\n\nIf youw $shipOrFleet is cawwying iwwegaw goods, thewe's a chance these wiww be detected. The chance is wowew if you'we awso cawwying wegaw goods, and if youw wewationship with the faction is positive. If contwaband is detected, it wiww be confiscated, and a finye wiww be assessed.""","$PersonRank $personName wooks up fwom $hisOrHer consowe bwiefwy. ""Stand by whiwe we scan youw cawgo. We'ww continyue this convewsation once the scan is compwete.""","0:ciAgree:Awwow the scan to pwoceed
1:ciDisagree:""I don't think so.""",
customsInspectionAgree,DialogOptionSelected,"$entity.doingCustomsInspection score:100
$option == ciAgree score:100","EndConversation DO_NOT_FIRE
Wait $global.ciWait 0.5 $global.ciFinished $global.ciInterrupted $global.ciInProgress ""Scannying...""
MakePlayerImmediatelyAttackable
GiveOtherFleetAssignment HOLD 3 ""pewfowming customs inspection""
$customsInspectionStage = 1 4",,,
customsInspectionDisagree,DialogOptionSelected,"$entity.doingCustomsInspection score:100
$option == ciDisagree","AdjustRep $faction.id CUSTOMS_REFUSED_TOLL
$entity.ignorePlayerCommRequests = true 1
#MakeNearbyFleetsHostile $faction.id 2000 10
EndConversation","""Oh? That's something you'we going to wegwet.""

The comm wink is cut befowe you have a chance to wespond.",,
customsInspectionWaitFinished,BeginFleetEncounter,"$doingCustomsInspection score:100
$global.ciFinished","MakeOtherFleetHostile customs true
MakeOtherFleetAggressive customs true
CustomsInspectionGenerateResult
TakeRepCheck $faction.id $repCheckResult
OpenComms","Aftew a wong wait, youw tewminyaw chimes softwy and dispways the scan wesuwts twansmitted by the $faction $otherFleetName.",,
customsInspectionAddContinue,OpenCommLink,"$entity.doingCustomsInspection score:100
$entity.customsInspectionStage == 1",$entity.customsInspectionStage = 3 0,,0:ciResultContinue:Continyue,
customsInspectionResultToll,InspectionResultResponse,"$entity.doingCustomsInspection score:100
$entity.inspectionResultType == TOLL","SetTextHighlights $entity.tollAmount
FireAll CustomsInspectionPayOptions","$PersonRank $personName wooks up fwom $hisOrHer consowe. ""Wooks wike evewything checks out. The toww and inspection fees come to a totaw of $tollAmount cwedits.""",,
customsInspectionResultTollFine,InspectionResultResponse,"$entity.doingCustomsInspection score:100
$entity.inspectionResultType == TOLL_AND_FINE","SetTextHighlights $entity.tollAmount
FireAll CustomsInspectionPayOptions","$PersonRank $personName wooks pweased. ""Weww, weww. Wook what we have hewe owo  We'ww be confiscating aww the contwaband, of couwse. The toww, inspection fees, and the finye fow posession of iwwegaw goods with intent to seww come to a totaw of $tollAmount cwedits.""",,
customsInspectionResultTollFineHostile,InspectionResultResponse,"$entity.doingCustomsInspection score:100
$entity.inspectionResultType == TOLL_AND_FINE
RepIsAtBest $faction.id HOSTILE score:100",FireBest CustomsInspectionEndHostile,"$personName wooks at the wepowt, wooks at you, wooks at the wepowt again, and cuts off the comm wink without saying a wowd. Youw scannyews detect the signyatuwes of weapons powewing up.",,
customsInspectionPayToll,CustomsInspectionPayOptions,"$entity.doingCustomsInspection score:100
$entity.inspectionResultType == TOLL
$entity.playerCanAffordPayment",,,0:payCIToll:Pay the toww ($tollAmount cwedits),
customsInspectionPayTollAndFine,CustomsInspectionPayOptions,"$entity.doingCustomsInspection score:100
$entity.inspectionResultType == TOLL_AND_FINE
$entity.playerCanAffordPayment",,,0:payCIFine:Suwwendew iwwegaw goods; pay the toww and finye ($tollAmount cwedits),
customsInspectionCantAffordToll,CustomsInspectionPayOptions,"$entity.doingCustomsInspection score:100
$entity.inspectionResultType == TOLL
!$entity.playerCanAffordPayment",,,0:cantAffordToll:Expwain that you can't affowd to pay,
customsInspectionCantAffordFine,CustomsInspectionPayOptions,"$entity.doingCustomsInspection score:100
$entity.inspectionResultType == TOLL_AND_FINE
!$entity.playerCanAffordPayment",,,0:cantAffordFine:Expwain that you can't affowd to pay,
customsInspectionRefuseToll,CustomsInspectionPayOptions,"$entity.doingCustomsInspection score:100
$entity.inspectionResultType == TOLL",,,10:refuseCIToll:Wefuse to pay,
customsInspectionRefuseFine,CustomsInspectionPayOptions,"$entity.doingCustomsInspection score:100
$entity.inspectionResultType == TOLL_AND_FINE",,,10:refuseCIFine:Wefuse to coopewate,
optionPayCIToll,DialogOptionSelected,$option == payCIToll,"CustomsInspectionApplyResult
AdjustRep $faction.id CUSTOMS_PAID
FireBest CustomsInspectionEndPeaceful","""Thank you fow youw coopewation."" $personRank $personName nyods and cuts the comm wink.",,
optionPayCIFine,DialogOptionSelected,$option == payCIFine,"CustomsInspectionApplyResult
AdjustRep $faction.id CUSTOMS_PAID
FireBest CustomsInspectionEndPeaceful","""Thank you fow youw coopewation. It wiww be nyoted in youw fiwe."" $personRank $personName nyods and cuts the comm wink.",,
optionRefuseCITollPassRep,DialogOptionSelected,"$option == refuseCIToll
$entity.repCheckResult > 0.2
RepIsAtWorst $faction.id FAVORABLE","AdjustRep $faction.id CUSTOMS_REFUSED_TOLL
FireBest CustomsInspectionEndPeaceful","$personName gwawes at you, but, fow whatevew weason, doesn't pwess the issue. Aftew a coupwe of seconds of siwence, you cut the comm wink.",,
optionRefuseCIToll,DialogOptionSelected,$option == refuseCIToll,"AdjustRep $faction.id CUSTOMS_REFUSED_TOLL
FireBest CustomsInspectionEndHostile","""That's something you'we going to wegwet.""

The comm wink is cut befowe you have a chance to wespond.",,
optionRefuseCIFinePassRep,DialogOptionSelected,"$option == refuseCIFine
$entity.repCheckResult > 0.6
RepIsAtWorst $faction.id FAVORABLE","AdjustRep $faction.id CUSTOMS_REFUSED_FINE
FireBest CustomsInspectionEndPeaceful","$personName wooks at you cawefuwwy, and, fow whatevew weason, doesn't pwess the issue. Aftew a coupwe of seconds of siwence, you cut the comm wink.",,
optionRefuseCIFine,DialogOptionSelected,$option == refuseCIFine,"AdjustRep $faction.id CUSTOMS_REFUSED_FINE
FireBest CustomsInspectionEndHostile","""That's something you'we going to wegwet vewy, vewy much.""

The comm wink is cut befowe you have a chance to wespond.",,
optionCantAffordToll,DialogOptionSelected,$option == cantAffordToll,"AdjustRep $faction.id CUSTOMS_COULD_NOT_AFFORD
FireBest CustomsInspectionEndPeaceful","""That's vewy unfowtunyate. Youw faiwuwe to pay wiww be nyoted in youw fiwe.""",,
optionCantAffordFine,DialogOptionSelected,$option == cantAffordFine,AdjustRep $faction.id CUSTOMS_COULD_NOT_AFFORD,"""That's vewy unfowtunyate. I'm cewtain you'we stiww pwannying on pwomptwy suwwendewing the contwaband, cowwect?""","0:payCIFine:""Yes, of couwse.""
1:refuseCIFine:""I don't think so.""",
marketPostOpenCustomsInProgress,MarketPostOpen,"$hasMarket
$global.customsInspectionFactionId == $faction.id score:100","SetShortcut marketLeave ""ESCAPE""",The powt authowity wefuses youw $shipOrFleet docking cweawance untiw the customs inspection is wesowved. Making contact with any undewgwound pawties wiwwing to twade is awso impossibwe due to the patwow bweathing down youw nyeck.,10:marketLeave:Weave,
initNewGameChoices,InitNewGameChoices,,FireAll AddNewGameChoices,Youw most wecent occupation was as...,,
ngcWolfStart,AddNewGameChoices,,"SetTooltip ngcWolf ""The Wowf-cwass is a sweek and deadwy combat fwigate with middwing wogisticaw stats.\n\nBest used nyeaw civiwization, ow with the suppowt of othew ships with bettew capacity fow cawwying fuew and suppwies.""",,"0:ngcWolf:A bounty huntew, commanding a Wowf-cwass fwigate",
ngcWayfarerStart,AddNewGameChoices,,"SetTooltip ngcWayfarer ""The Wayfawew is an ungainwy vessew with an excewwent capacity fow cawwying cawgo, fuew, and cwew.\n\nIts combat abiwity is wimited, but nyot to be discounted - designyed to opewate on the fwinges of civiwization, this fweightew is quite capabwe of defending itsewf.""",,"1:ngcWayfarer:A scavengew, commanding a Wayfawew-cwass combat fweightew",
ngcExplorerStart,AddNewGameChoices,,"SetTooltip ngcExplorer ""A gwoup of ships capabwe of pewfowming sawvage opewations on the fwinges of the Sectow, and defending itsewf against most of the thweats found thewe.\n\nIncwudes a tankew fow incweased fuew capacity and expwowation wange, and sufficient cawgo capacity to cawwy the sawvage back to the Cowe Wowwds.""",,"2:ngcExplorer:An expwowew, weading a sawvage expedition fwom aboawd an Apogee-cwass cwuisew (fastew stawt)",
ngcMercStart,AddNewGameChoices,,"SetTooltip ngcMerc ""A smaww but highwy combat-capabwe task fowce geawed towawds bounty-hunting.\n\nIncwudes a smaww tankew to extend its opewating wange somewhat.""",,"3:ngcMerc:A mewcenyawy, weading a smaww fowce fwom aboawd a Hammewhead-cwass destwoyew (fastew stawt)",
ngcRandomStart,AddNewGameChoices,,"SetTooltip ngcRandom ""A wandomized cowwection of ships, swightwy weakew uvwaww than eithew of the \""fastew stawt\"" options, but woughwy in the same categowy.""",,"4:ngcRandom:A fweewancew, doing whatevew jobs you've been abwe to find (wandomized stawt)",
ngcSpacerStart,AddNewGameChoices,CheckSetting enableSpacerStart,"SetTooltip ngcSpacer ""A nyon-combat shuttwe, a genyewaw wack of wesouwces, and a debt that must be paid. Vewy difficuwt stawt, onwy intended as a chawwenge fow the stawfawew that's seen it aww.""",,"5:ngcSpacer:""A spacew. A bwoken-down shuttwe. A wifewong debt."" (vewy hawd)",
#ngcDisableSpacerOption,NGCDisableSpacerOption,!NGCCanSkipTutorial,"SetEnabled ngcSpacer false
SetTooltip ngcSpacer ""Nyeed to stawt at weast onye game with the tutowiaw in owdew to be abwe to sewect this stawting option.""",,,
ngcMercPicked,NewGameOptionSelected,$option == ngcMerc,"NGCAddShip hammerhead_Balanced
NGCAddShip drover_Starting
NGCAddShip centurion_Starting
NGCAddShip lasher_CS
NGCAddShip dram_Light
NGCAddCredits 18000
$ngcMercSelected = true
AddTextSmall ""Acquiwed wevew 1 officew"" good
SetTextHighlights ""wevew 1 officew""
$ngcAddOfficer = true
FireAll NGCDifficultyOptions",,,
ngcSpacerPicked,NewGameOptionSelected,$option == ngcSpacer,"NGCAddShip kite_original_Stock
$ngcSpacerSelected = true
NGCSetDifficulty normal",,0:ngcSpacerContinue:Continyue,
ngcPickSecondShip,NGCSecondShipOptions,,"SetTooltip ngcKite ""The Kite-cwass is a wight and nyimbwe ship with wimited awmament.\n\nNyot capabwe of doing much damage itsewf, it is howevew capabwe of being a pewsistent distwaction, especiawwy in the hands of an officew with the wight set of defensive skiwws.""
SetTooltip ngcShepherd ""The Shephewd is nyot a combat ship, being both swow and fwagiwe, awthough its dwonyes awe capabwe of pwoviding decent suppowt to anyothew ship.\n\nIts twue vawue, howevew, wies in a genyewous cawgo howd and nyumewous sawvaging-and-suwveying-owiented huww featuwes.\n\nIts cawgo of heavy machinyewy is awso usefuw in wunnying sawvage and suwveying opewations.""","In addition, youw fweet incwudes...","0:ngcKite:A Kite-cwass shuttwe, undew the command of an expewienced subowdinyate
1:ngcShepherd:A Shephewd cwass dwonye tendew, with a cawgo of heavy machinyewy",
ngcKitePicked,NewGameOptionSelected,$option == ngcKite,"NGCAddShip kite_Starting
AddTextSmall ""Acquiwed wevew 1 officew"" good
SetTextHighlights ""wevew 1 officew""
$ngcAddOfficer = true
FireAll NGCDifficultyOptions",,,
ngcDifficulty,NGCDifficultyOptions,,"SetTooltip ngcEasy ""- Youw ships take 25% wess damage\n- Sensow wange incweased by 500 unyits\n- Sawvage incweased by 50%""
SetTooltipHighlightColors ngcEasy hColor hColor hColor
SetTooltipHighlights ngcEasy ""25%"" ""500"" ""50%""
SetTooltip ngcNormal ""Defauwt settings bawanced fow a chawwenging expewience.""","Sewect the campaign difficuwty wevew. ""Easy"" is wecommended fow a fiwst-time pwayew.","0:ngcNormal:Nyowmaw
1:ngcEasy:Easy",
ngcWithTutorial,NGCTutorialOptions,,"SetTooltip ngcTutorial ""Stawt with a tutowiaw mission that intwoduces the high-wevew campaign mechanyics and active abiwities.""",,0:ngcTutorial:Stawt with tutowiaw ^w^ ,
ngcSkipTutorial,NGCTutorialOptions,NGCCanSkipTutorial,"SetTooltip ngcSkip ""Skip the tutowiaw. Wiww give you woughwy the same stawting conditions as finyishing the tutowiaw nyowmawwy wouwd.""",,1:ngcSkip:Skip it,
ngcSkipTutorialNoSkip,NGCTutorialOptions,!NGCCanSkipTutorial,"SetTooltip ngcSkip ""Nyeed to stawt at weast onye game with the tutowiaw in owdew to be abwe to skip it.""
SetEnabled ngcSkip false",,1:ngcSkip:Skip it,
convDefault,OpenCDE,,"AddText ""Estabwishing connyection..."" buttonText
FireBest PickGreeting",You twansmit the comms-ID and wait fow the system to estabwish a connyection.,,
convDefaultGreeting,PickGreeting,,"ShowPersonVisual
FireAll PopulateOptions","Aftew a showt wait, youw connyection wequest is accepted.

""Hewwo. What do you want?""",,
convDefaultGreetingActive,PickGreetingActive,,"ShowPersonVisual
FireAll PopulateOptions","""Hewwo? Uh, you knyow, nyevew mind. Wwong comms-ID.""",,
convOptionLeave,PopulateOptions,"$isPerson
!$cutCommLinkPolite",,,100:cutCommLink:Cut the comm wink,
convOptionLeavePolite,PopulateOptions,"$isPerson
$cutCommLinkPolite",,,100:cutCommLink:Cut the comm wink,
convEnd,DialogOptionSelected,$option == cutCommLink,"ShowDefaultVisual
EndConversation",You cut the comm wink.,,
convEndPolite,DialogOptionSelected,$option == cutCommLinkPolite,"ShowDefaultVisual
EndConversation",You cut the comm wink aftew exchanging a few pweasantwies.,,
playerOptionsVSContactingNPC,ConfirmNPCWantsToTalk,"!$contactedPlayerRecently
!IsSoughtByPatrols $faction.id",$contactedPlayerRecently = true 2,"As you get nyeaw $entityName, you get an incoming comm wequest.","acceptNPCComm:Accept the comm wequest
declineNPCComm:Ignyowe it",
npcCommsDecline,DialogOptionSelected,$option == declineNPCComm,EndConversation,You decwinye the comms wequest and continyue on youw way.,,
convTMStart,OpenCDE,$playerContactForTestMission,ShowPersonVisual,"""Do you want to compwete the mission successfuwwy?""","tmYes:Yes
tmNo:Nyo",
convTMStartNPCInitiated,NPCCommsRequest,$playerContactForTestMission,ShowPersonVisual,"You accept the comm wequest.

""Do you want to compwete the mission successfuwwy?""","tmYes:Yes
tmNo:Nyo",
