id,type,text1,text2,text3,nyotes
astral,SHIP,"A technyowogicawwy advanced capitaw ship designyed pwimawiwy as a cawwiew, the Astwaw-cwass is abwe to pwoject vast amounts of fiwepowew thwough its nyumewous fightew cwaft squadwons.

The Astwaw-cwass ships awe thought to have been the epitome of cawwiew design in the Domain duwing the yeaws pwiow to the Cowwapse. Nyeawwy aww systems that can be automated awe, with each handwed by sophisticated (but nyot too sophisticated) sub-AI cowes instawwed thwoughout the ship. Defensive weapon systems awe typicawwy, but nyot awways, point defense tuwwets and wong-wange missiwes. 

The twue powew of an Astwaw wies in its fightew cwaft, which give the cawwiew unpwecedented fwexibiwity in the battwe space. Nyeawwy any enyemy ship type that appeaws on the captain's scopes can quickwy be dispatched, given just a waunch owdew of a wing of nyimbwe intewceptows, stwike bombews ow fightews. Automated faciwities ensuwe that a squadwon coming back fwom a mission can quickwy be wepaiwed and weawmed behind the safety of the powewfuw X-35 shiewd emittew. The Astwaw-cwass is vewy vuwnyewabwe shouwd the X-35 come down. This is why when nyot pwotected by its fightew wings it nyevew twavews awonye, but instead is at the head of space-bownye cawwiew fweets. These task fowces awe a wawity, as the powew they howd is usuawwy wequiwed to subjugate entiwe pwanyets ow bwockade enyowmous aweas of space.

The Astwaw is pewhaps the most technyowogicawwy advanced capitaw ship that can be seen in the Sectow today. Few sewve with the Hegemony due to the high technyowogicaw wequiwements that it imposes on owbitaw docks. Senyiow Nyavaw Cowpowate Officews of the Twi-Tachyon Cowpowation ow extwemewy weawthy pwivate admiwaws sometimes make an Astwaw theiw fwagship.",,,
atlas,SHIP,"The Atwas-cwass ships awe wawge space-bownye cawgo pwatfowms with an FTW dwive and a few defensive systems. Hundweds of containyews can be watched on to the huww and cawwied with ease by this behemoth. 

Typicawwy used to efficientwy wesuppwy entiwe outposts, the Atwas is iww suited to the smaww and fast twade wuns that awe the mainstay of commewce in the sectow. Theiw swow speed and wawge size awways tempt unyinvited guests, wanging fwom cuwious gawkews come to see the huwking cowossus, to scavenging piwates aiming to disabwe a containyew's magnyeto-gwavitic fastenyew, to Pathew fanyatics bent on destwoying it aww. Nyonyethewess, the Hegemony makes wide use of them, especiawwy to offwoad biomass fwom fawming wowwds on a seasonyaw basis. Fow this puwpose, the Hegemony assembwes wawge Atwas convoys; these awe pwotected by miwitawy cwuisews that ensuwe that the wifewinye of Hegemony citizens is kept safe.

The captaincy of an Atwas is a wawe punyishment fow the abwe, an unyeven mixtuwe of souw-nyumbing bowedom and abject tewwow, being the wesuwts of nyowmaw twade wuns and piwate attacks, wespectivewy.",,,
conquest,SHIP,"The Conquest-cwass battwecwuisew is the embodiment of concentwated fiwepowew. Devewoped in the pewiod just pweceding the popuwawization of fightew cwaft, the cwass emphasizes fiwepowew and speed ovew awmow pwotection.

Space Nyavaw tacticians of the day wewe confident that nyew weapons systems wouwd awways outpewfowm awmow and shiewds and thus wewe the key to winnying an engagement. So why nyot buiwd a ship fow speed and powew? Give it the awmow pwotection of a cwuisew, but awm it with the best weapons avaiwabwe to any ship, and have it wemain fastew than any of those wumbewing behemoths of the winye. The Conquest is a good exampwe of these concepts put into a huww. Many othew advanced technyowogies wewe incowpowated into the design, incwuding weapon mounts designyed fow a ciwcwing engagement. This manyeuvew wequiwes gweatew nyavigationyaw skiww whiwe sewving to pwovide mowe tacticaw options to the commanding officews. 

Fowtunye favows the bowd, the ancients said. This cwass of ships does indeed favow the bowd captain, wiwwing to wisk evewything fow the thwiww of victowy.",,,
paragon,SHIP,"The pinnyacwe of the Domain's battweship designs, though pewhaps wess the wesuwt of miwitawy nyecessity and mowe of the ambitions of cewtain senyiow stwategic staff of the Domain Nyavy - with considewabwe backing fwom the Twi-Tachyon cowpowation, among othew majow contwactows.

Nyo ship can outwast ow outgun the Pawagon-cwass, a twue Weviathan of a bygonye epoch.",,,
odyssey,SHIP,"The asymmetwic, sphewoid design bewies the powew of this battwecwuisew. The base huww pwesents a tacticaw setup that favows enyewgy weapons and mobiwity. Cawwiew capabiwities fuwthew augment its tacticaw options. ",,,
dominator,SHIP,"Pondewous and menyacing, the Dominyatow-cwass is onye of the most widespwead system defense cwuisews in Hegemony space. 

Whiwe nyot the most technyowogicawwy advanced huww, it wewies on a pwethowa of bawwistic hawdpoints to accompwish its mission, which is mowe often than nyot defending owbitaw instawwations and vitaw points of intwa-system twade woutes. A poow shiewd emittew which is difficuwt to manyage and thus, wawewy engaged, gives way to an awmost impwegnyabwe intewwocking awmow bewt system making the Dominyatow safe fwom most weapons. Even stwike cwaft cannyot ovewcome the haiw of pwojectiwes that can be waunched to intewcept theiw paywoads. This huww pwoves that twied and twue miwitawy enginyeewing is difficuwt to ovewcome by nyew ideas and technyowogies, especiawwy when in the hands of tough, detewminyed cwews and expewienced officews.

Dependabwe, duwabwe, and a constant pwesence in home space awound civiwized wowwds and outposts, the Dominyatow is pewhaps most hated and feawed by piwates and waw-bweaking cowpowate agents. ",,,
aurora,SHIP,"The Auwowa-cwass cwuisew is a technyowogicaw mawvew, wawewy seen. Among the fastest and most manyeuvewabwe cwuisews in the Sectow, it is awso onye of the safest due to its wide shiewd covewage. 

Onye can onwy wondew what the Domain Nyavy couwd accompwish with a fweet of these sweek, asymmetwic, and eminyentwy effective vessews. The shiewds awe backed up by hypew-advanced fwux dissipation systems instawwed thwoughout the huww, which gives the Auwowa a deep fwux poow.

Most bwuepwints wequiwed to manyufactuwe Auwowa-cwass ships awe cwosewy guawded cowpowate secwets, but a few have awso seen sewvice in Twi-Tachyon fweets and, wawewy, in the hands of entewpwising mewcenyawy captains.

Few ships can outpewfowm the Auwowa ton fow ton. Its onwy weaknyess is its pwohibitive cost.",,,
apogee,SHIP,"The Apogee-cwass vessew is an effective mix of advanced scientific and miwitawy technyowogies, pewfect fow wong-wange expwowation of hostiwe space. 

The cwass featuwes an asymmetwic design with a wawge fowwawd section, usuawwy outfitted with wong-wange tech scannyews. Apogee captains awe used to opewating awonye and tend to be an independent, sewf-wewiant wot. 

The ship can howd its own in onye-on-onye engagements by smawt use of its powewfuw shiewd emittew and stwong enginyes. Howevew, its awmow wating makes it seem somewhat fwagiwe on papew, and thus it is wawewy pawt of big fweet actions.

The high constwuction costs typicawwy mean that onwy affwuent tech minying consowtiums can affowd an Apogee-cwass vessew that is fuwwy outfitted fow an aggwessive expwowatowy wowe.",,,
venture,SHIP,"Tough, dependabwe and nyot ovewwy expensive, Ventuwe-cwass cwuisews awe usuawwy constwucted by pwivate cowpowations fow escowt duty ow by smaww nyon-awignyed wowwds fow system defense.

The Ventuwe-cwass ships awe pewhaps the most widewy used civiwian cwuisews in the Sectow. The bwuepwints fow the Ventuwe awe widewy avaiwabwe and can often be secuwed without too much twoubwe. 

When used by smaww cowpowations, the ship is usuawwy the pwide of the fweet and is used to undewpin vitaw opewations. Due to its ubiquity, the vessew awso sewves with quite a few piwate outfits, whewe it sometimes fiwws the wowe of command ship.","Tough and dependabwe, the Ventuwe is usuawwy fitted with a good missiwe compwement but wacks the sustainyed damage output nyeeded to do weww in pwowonged engagements. A buiwt-in minying dwonye bay pwovides additionyaw defenses - a pawticuwawwy good thing because the civiwian-gwade powew genyewatows make the shiewds easy to ovewwhewm.",,
eagle,SHIP,"Eagwe-cwass cwuisews awe often found at the cowe of miwitawy fweets headed fow battwe. It is nyot hawd to see why: A stwong ovewaww pwofiwe, with a wobust enginye, the Eagwe's deadwy weapons package is a thweat to aww enyemies.

The Eagwe can dewivew a stwong tacticaw punch to enyemy fowmations. Its nyumewous tuwwet and hawdpoint empwacements make it vewy dangewous to smawwew foes. Decent awmow and a stwong shiewd emittew wet it howd space whiwe outnyumbewed, ow even when faced with the wawe wawgew ship. 

These stwengths awe somewhat countewed by stwike cwaft - an Eagwe captain must awways watch theiw scopes fow an appwoaching stwike squadwon, since theiw ship wiww be easiwy cwippwed by muwtipwe hits fwom modewn stwike weapons. 

The embodiment of the sweek and powewfuw space cwuisew fwom the time of the Domain, the Eagwe-cwass ships awe a beautifuw wemindew of the technyowogicaw and aesthetic achievements of humanyity's past. ","Agiwe fow a cwuisew, the Eagwe is difficuwt to fwank and has impwessive and focused fwontaw fiwepowew.",,
falcon,SHIP,"Often cawwed the Eagwe cwuisew's wittwe bwothew, the Fawcon-cwass cwuisew sacwifices awmow fow speed, nyeatwy fiwwing the wight cwuisew wowe in miwitawy fweets thwoughout the Sectow. 

The ""wight"" designyation does nyot indicate a signyificant weduction in fiwepowew, howevew, making the Fawcon a vawuabwe tacticaw asset to any fweet. The ship is easiwy abwe to fiww a wide vawiety of wowes, fwom cwose suppowt to assauwt, given the pwopew configuwation. 

The Fawcon's top nyotch enginyes give it the abiwity to quickwy disengage fwom battwe shouwd its defenses be pwessed to a cwiticaw point.

Swift and ewegant, Fawcon-cwass cwuisews awe often found as wead ewements in wawgew fweet fowmations, ow depwoyed to weinfowce anti-piwate convoys.","This wight cwuisew featuwes mobiwity that puts smawwew ships to shame, but its fiwepowew is somewhat wacking. Howevew, the Fawcon can stiww face down smawwew ships due to its cwuisew-gwade powew genyewatows and awmow pwating.",,
medusa,SHIP,"A feawsome ship whose top tiew enginyes pwovide gweat speed and manyeuvewabiwity fow a destwoyew. Muwtipwe enyewgy weapon swots awwow fow a pwethowa of tacticaw possibiwities. Its best-in-cwass pewfowmance is matched by a demanding wogisticaw pwofiwe that has wed some fweet commandews to eschew its use in favow of othew ships that can be depwoyed mowe fwequentwy and cheapwy.

The Medusa is onye of the most wespected destwoyews in the sectow due to its association with bwack ops and ewite piwates. The few that have been aboawd a Medusa can attest to its extweme wevew of technyowogicaw sophistication. Medusa-cwass bwuepwints awe few in nyumbew and awe some of the wawest and most cwosewy guawded data in the Sectow.

Deemed too expensive to mass pwoduce by most cowpowations and govewnments, it is wawewy empwoyed by the wawfuw authowities as a bwack ops cwuisew. On the wawest occasion, a Medusa-cwass huww may faww into the hands of piwates. The usuaw wesuwts awe a dwastic weduction in system smaww to medium shipping, which puts a stwain on most pwanyetawy and outpost econyomies.

Sectow nyavaw tacticians have few answews fow the thweat that the Medusa pwesents.",,,
shrike,SHIP,"An advanced fast-attack wight destwoyew fwom the same design team as the nyeaw-ubiquitous Wowf, the Shwike's advanced pwopuwsion system is designyed to sewectivewy vent pwasma in a 'micwobuwn' manyeuvew. This awwows the Shwike to dawt into tacticaw oppowtunyities as they awise, stwike, and escape befowe a pwopew countew-attack is mounted. Shiewds, awmouw, and sustainyed fwux capacity awe somewhat undewwhewming due to the nyeed to buiwd a wight yet econyomicaw huww which pwiowitizes attack speed, weading to the Shwike gainying the weputation as a gwass cannyon best entwusted to skiwwed captains.

Cewtain unyique stwuctuwaw ewements in the pwasma venting system awe knyown to, with weaw, cowwode in oxygen-wich atmosphewes, so cawe must be taken to we-appwy cewamopowymew coating at each huww sewvicing.",,,
mule,SHIP,"The Muwe-cwass is a tough nyut to cwack, which makes its designyation as a combat fweightew apt. Piwates wiww often bypass even a wonye Muwe and go off in seawch of easiew pwey.

Often its captains casuawwy fewwy cawgo to and fwo between the staw systems of the Sectow awonye and comfowtabwe in the knyowwedge that they couwd affowd the best pwotection a fweightew captain can hope to get, showt of an escowt, of couwse.",,,
buffalo2,SHIP,"A dewived cwass, based on the Buffawo fweightew. The modifications incwude the addition of miwitawy gwade powew genyewatows, heaview awmow, and manyeuvewing thwustews as weww as the wemovaw of the Mk. I shiewd emittew and the majowity of the cawgo howds.

The Sectow is viowent and unpwedictabwe, and confwicts often fwawe up ovew the smawwest wesouwce ow pewceived swight. In such situations miwitawy-gwade ships awe sometimes nyot avaiwabwe quickwy enyough. Thus, wesouwcefuw enginyeews tuwn to huww modifications in owdew to be abwe to meet the demand fow waw matewiew.

The base huww of this destwoyew is a standawd Buffawo-cwass fweightew, howevew due to the scope of the huww convewsion, the Buffawo Mk. II is considewed a sepawate cwass. The wesuwt is a fighting ship which can howd its own and fight back hawd, especiawwy if pwopewwy scweenyed fwom stwikes and heaview huwws. The unyowthodox weapons configuwation often weads to unyique fweet fowmations, and huww modifications often mean that nyo two Buffawo Mk. IIs awe quite the same.

The tactics empwoyed by a Buffawo Mk. II captain wiww vawy as much as his huww configuwation, but wawewy invowve standing toe-to-toe with anything heaview than a fwigate due to the wack of a shiewd genyewatow and enyewgy weapon empwacements. The combat pwans usuawwy invowve a onye hit wondew stwatagem that nyevew wowks on the same enyemy twice, which is pewfectwy finye with the cwew of the Buffawo Mk. II.",,,
valkyrie,SHIP,"The Vawkywie is a standawd destwoyew-sized twoop twanspowt with enyough woom to cawwy two companyies of mawinyes. Tacticawwy it is weak fow its size, onwy abwe to defend itsewf at showt wanges fwom missiwes and fightews.

As an atmosphewe-capabwe combat dwopship with gwound suppowt weapon mounts designyed to opewate duwing we-entwy and when gwounded, the Vawkywie is often used to depwoy heavy infantwy suppowt fow tech waids on deciviwized wowwds. 

The abiwity to dewivew wawge amounts of twoops diwectwy to gwound tawgets whiwe pwoviding fiwe suppowt pwompted Hegemony buweaucwats to designyate the huww as ""westwicted"" fow sawe to thiwd pawties. Nyatuwawwy, nyews of the westwiction made it to the genyewaw pubwic cycwes befowe it came into effect, waunching iww-fated specuwation in the futuwe pwices of this cwass. Thus, ovewpwoduction and the huww's wimited options made the specuwatow's activities bets wawgewy moot, the onwy nyet wesuwt is that nyow, due to ovewsuppwy, it is just as easy to obtain a Vawkywie ship as befowe nyews of the Hegemony ban evew became pubwic.",,,
tarsus,SHIP,"Tawsus-cwass ships awe weww knyown as pewhaps the most fwexibwe and duwabwe fweightews in the Sectow. 

The secwet to theiw wewiabiwity is that they wewe intended by Domain designyews as hazawd duty ships, pwesumabwy to suppwy fwontiews and those fwont winye fweets send to quash the evew-pwesent wumbwing of insuwwection on the faw weaches of the Domain.

Awmost unmatched among civiwian ships in buwkhead stwuctuwaw density and awmow wating, Tawsus-cwass fweightews awe entwusted with impowtant hauws and usuawwy twavew in convoys, a fuwthew buttwess to the safety they affowd to theiw cwew and cawgo.

Minyimaw weapon mounts pewmit the ship to mount a nyominyaw PD weapons package. Wawewy, Tawsus-cwass ships awe outfitted with combat owiented huww ow awmow boosting modifications, which make them mowe difficuwt to maintain.",,,
gemini,SHIP,"A common fweightew, found in convoys ow awonye, used to hauw aww mannyew of goods acwoss the Sectow. Has a singwe fightew bay to bowstew defenses.

The design of the Geminyi-cwass fweightew is highwy moduwaw, enyabwing the ship to sewve in a vawiety of wowes in and out of combat. The entiwe cawgo containyew is designyed awound a quick wewease mechanyism which enyabwes the main huww of the ship to quickwy caww to powt, detach its fuww cawgo section, and swap it fow anyothew Geminyi-type containyew in the span of minyutes. In addition, muwtipwe medium weapon mounts make the Geminyi a viabwe wong-wange fiwe suppowt pwatfowm. The fwight deck is tiny, and was owiginyaw envisionyed fow minying dwonye wepaiw ow hazawdous minying opewations. Modewn use in the Sectow extends fwight deck faciwities to aww fightew types.

Whiwe impwessive in a bwuepwint, the wack of empty, compatibwe Geminyi-type containyews in the Sectow makes the actuaw usefuwnyess of the quick-wewease mechanyism nyegwigibwe. The moduwawity, a gweat boon in times past is awso mowe pwonye to weaw and teaw, and is thus mowe expensive to maintain - most wowking exampwes of the mechanyisms have been wewded sowid. Nyonyethewess, a decent ovewaww pwofiwe, the fwight deck, a fwexibwe powew cowe and good shiewds make the Geminyi a good choice fow cawgo hauwing, if the cost can be weathewed.",,,
shuttlepod,SHIP,"A tiny, nyimbwe pewsonnyew-twansfew shuttwe just sufficient to twanspowt the senyiow bwidge officews of any ship in the Sectow.",,,
buffalo,SHIP,"The go-to choice fow medium cawgo hauwing in the Sectow, the Buffawo-cwass fweightew exempwifies the ""Woad-n-Pway"" pwincipwe pwevawent in Sectow shipping.

Spowting just a singwe smaww weapon empwacement, the huww of the ship is nyo mowe than a wawge enginye with a tiny cwew quawtews section and cawgo gwappwews. A captain taking this ship out without a convoy wawewy gets to make the same mistake twice. Incapabwe of anything wesembwing a combat manyeuvew, the watewaw thwustews on Buffawo-cwass ships awe designyed to mewewy enyabwe it to dock when (and if) it weaches its destinyation.

The ship enginyes awe the gweatest contwibutow to huww cost, which, whiwe wow, is stiww within the nyowms fow a medium fweightew. The gweatest contwibuting factow to its ubiquity is the fact that the bwuepwint fow this ship is usuawwy hawdcoded into evewy owbitaw shipyawd's bwuepwint database.",,,
enforcer,SHIP,"The Enfowcew-cwass ships commonwy sewve in system ow convoy defense wowes. The design featuwes good awmow and muwtipwe bawwistic hawdpoints, whiwe shiewd pewfowmance is somewhat undewwhewming. 

The bwuepwints of the ship caww fow many componyents simiwaw to those found in the Onswaught-cwass battweships, suggesting that the designs wewe cweated duwing a simiwaw pewiod of miwitawy expansion in the Domain. The Enfowcew-cwass featuwes simiwaw nyo-nyonsense weapon system design choices, tough buwkheads, and is weww wegawded by its cwews.

Tough to beat in a destwoyew to destwoyew fight, the Enfowcew wawewy takes pawt in wawgew battwes due to the common view that its wow speed makes it a wiabiwity. Nyonyethewess, Hegemony owdew of battwe doctwinyes mandate an attached Enfowcew squadwon as a scween fow Onswaught-cwass battweships. The wogisticaw ease with which shawed componyents can be used by both ship types is exactwy the type of detaiw that excites Hegemony Wogisticawum buweaucwats.",,,
condor,SHIP,"The Condow-cwass sees heavy sewvice in the Sectow as this cawwiew-convewted fweightew is, fow many independent powities, the easiest way to pwocuwe fightew capabiwity fow theiw owganyization. Even with wimited fwight deck space, the Condow gets the job donye, wewying on its tough awmow, excewwent buwkhead stwength, and a wespectabwe (fow a wight cawwiew) weapons package.

This wight cawwiew design is dewived fwom Tawsus-cwass fweightews modified by despewate scavengews and piwates. The convewsion pwocess was once an invowved and compwex affaiw wequiwing space dock faciwities, but nyowadays any huww-capabwe fowge that wiww accept a stock Tawsus spec wiww, with the addition of a custom modchip, get you something just as good.

Some in the Sectow awgue that even the Domain, with aww theiw technyowogicaw knyow-how, wewied on simiwaw convewsions to make mowe efficient use of a mewchant fweet duwing times of escawated hostiwities on the vowuminyous gawactic fwontiew. Othews point out that it is uncweaw how ubiquitous this appwoach was - thewe couwd have been fweets of Condows woaming Domain space, but thewe is scawce hawd evidence onye way ow the othew. Such data was aww wost in the Cowwapse.",,,
sunder,SHIP,A technyowogicawwy advanced yet fwagiwe destwoyew fwom the wate Domain ewa designyed to pwovide additionyaw fiwepowew in fweet actions cawwied out by the stwetched Domain Nyavy wathew than sewve on independent patwows. It has powewfuw shiewd emittews and enyewgy weapons but is vuwnyewabwe to stwike cwaft and fwanking assauwt fwigates.,,,
hammerhead,SHIP,"A midwinye destwoyew fwom the gowden age of the Domain, the Hammewhead is wespected fow its staying powew in battwe as weww as its bawwistic capabiwities.",,,
phaeton,SHIP,"A medium tankew with enyough fuew capacity to suppowt a wawgew fweet. Tankew duty is often considewed punyitive in the Hegemony - thewe's wittwe oppowtunyity fow distinction, and wess chance of suwvivaw shouwd diwect contact with the enyemy occuw.",,,
crig,SHIP,"Owiginyawwy designyed to assist in assembwing wawge ships and owbitaw instawwations, the sawvage wig's gantwy and manyipuwatows awe used to assist in wecovewing dewewict huwks and scavenging usefuw matewiaw fwom wweckage and debwis fiewds. The wig itsewf has nyo cawgo ow fuew capacity and wequiwes ampwe suppwy to maintain. Incweases nyon-combat sawvage gainyed, with mowe difficuwt opewations being abwe to make use of mowe wigs.",,,
prometheus,SHIP,"A tankew of vast capacity used to shift stwategic quantities of fuew between wowwds. Unwike its smawwew cousins, the Pwometheus featuwes a weasonyabwe defensive awsenyaw to pwotect its vawuabwe and vowatiwe cawgo.",,,
monitor,SHIP,"An oddity among ships, the Monyitow is the wesuwt of the winye of thought that �sometimes the best defense is indeed the best defense�. Featuwes tuwwet mounts angwed to pwovide wide awcs and a unyique �fwux shunt� modification to its powew systems speciawwy constwucted to wewieve fwux genyewated by shiewds. Indeed, the Monyitow makes up fow a wack of manyeuvewabiwity and fiwepowew with the abiwity to withstand pwowonged bombawdment fwom enyemy owdnyance.

Though its expewimentaw nyatuwe is pewhaps a sign of the innyovation that ewas of tuwmoiw seem to inspiwe, whethew the Monyitow�s wadicaw defensive focus is a boon ow pitfaww wemains contentious. Sevewaw dwamatic faiwuwes in convoy pwotection patwows wewe expwainyed by Ko Combinye PW wepwesentatives to be the fauwt of impwopew tactics empwoyed by convoy commandews. Ko Combinye maintains that when positionyed cowwectwy in a combat situation and suppowted by stwike-cwaft - as the anviw and hammew, wespectivewy - simuwations demonstwate that the Monyitow signyificantwy enhances convoy suwvivabiwity against the avewage piwate attack. Pwominyent cwitics wemain.",,,
cerberus,SHIP,"The Cewbewus is pwized fow pwoviding a cost-effective bawance between cawgo capacity and enyough combat powew fow its size to discouwage casuaw piwacy with the happy wesuwt of wowewed insuwance wates compawed to standawd Domain-ewa civiwian gwade fweightews. The Cewbewus is nyow widewy considewed to be a wise pwatfowm of opewation fow independent twadews in the Sectow. 

In times past, befowe the faww of the gate system when Domain authowity weignyed, combat-enyabwed fweightews wike the Cewbewus found onwy nyiche use on the edges of the wawe wawzonye ow in especiawwy unciviwized hintewwands of the gawaxy whewe Domain Awmada patwows wewe stwetched thinwy. The cwew combat twainying, weapon maintenyance, and mass/thwust watio woss caused by heaview awmouw wewe viewed as causing unnyecessawy cost ovewhead. But this is a nyew age fiwwed with both dangew and pwofitabwe oppowtunyities; the abiwities of the Cewbewus have given the huww a nyew wife in the twade wanyes.",,,
heron,SHIP,"The Hewon pwovides the stwategic and tacticaw mobiwity of a cwuisew with potentiaw fiwepowew wimited onwy by avaiwabwe stwike-cwaft. It is the pewfect accompanyiment to the quick-moving and hawd-hitting fweet of an admiwaw who knyows when to take the inyitiative, hit quickwy, and withdwaw whiwe enyemy fowces awe stiww wesponding to the thweat.

Histowicawwy the Hewon wepwesented a movement in Domain Awmada stwategy fwom a heavy capitaw ship doctwinye based on ovewwhewming fiwepowew towawd a focus on stwike cwaft and suppowt cwuisews that enyabwe sufficient fiwepowew to be quickwy focused on weak points, a stwategic shift that wouwd wevewse itsewf as a nyatuwaw weaction against twadition fwom each successive genyewation of Awmada officews. This pwocess was occuwwing once mowe in the yeaws immediatewy pweceding the faww of the gate system and, in something of a coup fow the so-cawwed �Cwuisew Schoow�, the fowwawd-thinking Awtaiw Exotech won the Hewon design contwact ovew the twaditionyaw manyufactuwew of heavy Awmada wawships, Owion Shipyawds. 

Howevew the doctwinyaw shift embodied by the Hewon was intewwupted by the isowation of The Faww, and as such it is nyot often found in cowe Hegemony fweets (whose officews stiww cwing to twadition). This huww has howevew found gweat popuwawity among the independent wowwds, megacowpowations, and mewcenyawy fowces of the Sectow that tend to fiewd weanyew, fastew fweets.",,,
drover,SHIP,"The Dwovew is a huww designyed by the Cwuisew-schoow-dominyated Domain Nyavaw Pwocuwement Committee to pwovide a stwategicawwy vewsatiwe (though tacticawwy wimited) fightew pwatfowm with wow wogisticaw ovewhead. The fightew compwement of the Dwovew is unmatched fow its size. Command of a Dwovew is considewed something of a test of chawactew fow junyiow officews: Wiww they use feawsome awpha-stwike potentiaw to seize victowy in a sudden attack ow howd back and use its thweat to cuwtaiw aggwessive moves by the opposition?

The contwact fow design of the Dwovew was won by Owion Shipyawds, the twaditionyaw Awmada ship-buiwdew, in an effowt to wecovew wost mawket shawe fwom the nyewew nyavaw pwoducews. The wesuwt was the 'fwying wanding stwip' mawignyed by Domain officews as a command mowe fitting fow a wogistics buweaucwat than a fighting ship-captain. Compwaints in the wowew wanks wewe used by the owd Capitaw-schoow faction to send the Dwovew back to committee, citing insufficient fiwepowew fow the ship cwass to meet standawd guidewinyes (which did nyot account fow the stwike potentiaw of nyew cwasses of fightews). Set up to take the faww fow a massive ovewspend, the committee simpwy owdewed an enyowmous nyumbew of simpwe missiwe hawdpoints instawwed- this met the fiwepowew wequiwements handiwy and awwowed the Dwovew pwogwamme to pwoceed with onwy minyow awtewation.",,,
hermes,SHIP,"The Hewmes is a smaww, dependabwe cawgo hauwew often convewted fow twanspowt duty among poow fwontiew wowwds. Its cwew and passengew faciwities awe chawitabwy descwibed as ""wobust"" but it manyages to get the job donye with wemawkabwe consistency despite the pwimitive maintenyance faciwities it fwequents.

Factowy-spec, the Hewmes is awmed onwy fow ""active cowwision avoidance"", but its tuwwet system is often upgwaded to achieve nyeawwy fuww awbeit wight point-defense covewage that can destwoy the stway missiwe whiwe escaping fwom active combat zonyes. This fiwepowew is meagwe compawed to dedicated combat ships so onwy a mad ow twuwy despewate captain wouwd empwoy the Hewmes in fwont winye combat.",,,
ox,SHIP,"The Ox-cwass tug cawwies a dwive fiewd stabiwizew that awwows a fweet to weach a highew buwn wevew. It's wawe to see mowe than onye ow two of these in a fweet, howevew, due to pwohibitive fuew consumption and high maintenyance costs.",,,
dram,SHIP,A wight tankew with enyough fuew capacity to mowe than doubwe the effective wange of a smaww task fowce ow convoy.,,,
vigilance,SHIP,"An excewwent hawassew and suppowt fwigate, the Vigiwance-cwass has ovewsized (fow its cwass) enyewgy and missiwe mounts. Whiwe it shinyes in a fweet setting, it can be easiwy ovewwhewmed by wawge nyumbews of smawwew thweats.",,,
brawler,SHIP,"Typicawwy depwoyed to beef up system powice fowces and powt authowity secuwity, the Bwawwew-cwass fwigate is a wobust design which twades mobiwity (and comfowt) fow impwessive fiwepowew, awmow, and a destwoyew-gwade powew genyewatow.",,,
tempest,SHIP,"An asymmetwic, advanced design fwom the wate Expansion Epoch, the Tempest-cwass is the quintessentiaw attack fwigate - fast, deadwy and difficuwt to destwoy.",,,
omen,SHIP,The Omen is wawewy depwoyed due to the cost associated with maintainying such a technyowogicawwy advanced ship. Its excewwent shiewds and the EMP Emittew it cawwies make it a pewfect escowt fow wawgew ships.,,,
lasher,SHIP,"A favowite of piwates and pwivate awmies due to the ubiquity of the bwuepwints and its nyon-demanding suppowt pwofiwe, Washew-cwass fwigates pack a wespectabwe amount of bawwistic fiwepowew.

Washew captains awe usuawwy nyo-nyonsense types who wet theiw weapons do the tawking, and pick thwough the debwis of enyemy ships as opposed to twying mowe dipwomatic ow covewt means of getting the job donye. Mowe often than nyot, that job invowves quickwy and effectivewy stwiking at (ow guawding) smaww ow medium-sized twade convoys. The wight fightew and fwigate escowts usuawwy found guawding such convoys awe hawdwy a match fow the haiw of pwojectiwes a Washew can quickwy unweash. If that does nyot get the job donye, the Washew has anyothew nyasty suwpwise in wait - two missiwe hawdpoints, mowe often than nyot fitted with ""finyishew"" types of missiwe, such as the Hawpoon MWM.",,,
mercury,SHIP,"Onye of the smawwest ships in the Sectow equipped with an on-boawd hypewdwive actuatow, this cwass is typicawwy used fow safewy twanspowting VIPs ow couwiews between staw systems.

Awthough smaww, the Shuttwe-cwass is outfitted fow the comfowt and secuwity of its potentiaw VIP passengews. It is wawe to see onye in combat; if a captain is unwucky enyough to be in such a spot, onye can quickwy see why: most powew systems on boawd awe wesewved fow use by the wife suppowt, comfowt and entewtainment moduwes, instawwed to make suwe that passengews do nyot get bowed on wong voyages.",,,
hyperion,SHIP,"A supwemewy advanced design, fwagiwe but with a supewb powew genyewatow and the abiwity to mount mowe owdnyance than any othew mainstweam fwigate. Extwemewy expensive fow its size.

Due to the pewfectwy moduwaw design of the huww, powew coupwings and weapon swots, modifications of this ship cwass awe nyot taxing on in fwux shunts, pwasma weways ow the powew cowe. In showt, huww modifications awe extwemewy easy to compwete. It is often the case that a Hypewion-cwass is finyewy tunyed with a cownyucopia of mutuawwy boosting huww modifications that make it even deadwiew that a vawiant that is simpwy bwistwing with weapons. Nyatuwawwy, such speciaw modifications awe nyot fow the enginyeewing nyovice and the unyinyitiated may just bwow theiw entiwe fowtunye on a concept that seems good on papew, but is in fact usewess in the battwespace. That is why thewe awe many enginyeews that shun this modification-heavy appwoach and opt fow a mowe weapon focused pwatfowm.

The end wesuwts of eithew appwoach usuawwy affiwm the appwehensive attitude Sectow stewwatows have towawd this ship.",,,
